region;north;east;south;west;demand
American Samoa;-10.024;-165.201;-17.555;-173.775;0.156
Andaman and Nicobar;15.718;95.697;3.841;88.799;#N/A
Angola;-4.361;24.086;-18.039;8.196;13.658591
Anguilla;21.94;-60.737;17.939;-63.899;#N/A
Antigua and Barbuda;20.922;-58.368;16.612;-62.751;0.276
Aruba;15.3;-68.87;12.151;-70.417;0.761712
Australia;-8.883;163.192;-30;109.233;238.6344388
Bahamas;30;-70.51;20.374;-81.231;1.95624849
Bajo Nuevo Bank;16.051;-78.426;15.649;-78.841;#N/A
Bangladesh;26.627;92.685;17.863;87.994;76.759722
Barbados;16.019;-56.002;10.604;-60.382;0.95811
Bassas da India;-19.105;41.581;-23.185;37.545;#N/A
Belize;18.496;-86.173;15.886;-89.225;1.18288
Benin;12.408;3.844;2.97;0.774;0.9297
Bonaire;14.271;-67.99;11.667;-68.72;#N/A
Brazil;7.045;-26.015;-30;-73.994;537.9698027
British Virgin Islands;22.097;-63.258;17.964;-65.842;0.117798
Brunei;7.587;115.371;4.037;111.726;4.14014
Cameroon;13.086;16.191;1.649;8.326;6.509974
Canary Islands;30;-11.813;24.585;-21.92;#N/A
Cape Verde;20.556;-19.535;11.451;-28.847;0.3358
Cayman Islands;20.633;-78.727;17.584;-83.597;0.667
Chagos Archipelago;-2.288;75.853;-10.797;67.883;#N/A
Chile;-17.498;-65.727;-30;-84.841;77.6898273
China;30;134.774;6.1;73.561;6802.698896
Christmas Island;-8.726;109.035;-13.919;102.149;#N/A
Clipperton Island;13.671;-105.816;6.936;-112.619;#N/A
Cocos Islands;-8.472;100.336;-15.559;93.412;#N/A
Colombia;15.177;-66.847;-4.242;-84.81;74.1834719
Comores;-8.105;45.767;-14.463;41.835;0.072176
Costa Rica;11.602;-80;1.983;-90.471;9.9929716
Cuba;25.225;-73.582;18.832;-86.94;16.10046
Curaçao;15.242;-68.405;11.667;-69.546;#N/A
Democratic Republic of the Congo;5.392;31.308;-13.459;9.007;#N/A
Djibouti;12.715;44.143;10.915;41.772;0.4674
Dominica;16.501;-57.875;14.489;-62.814;0.082078
Dominican Republic;24.089;-65.822;14.675;-73.475;16.772745
East Timor;-8.104;128.502;-11.4;124.938;0.414247
Easter Island;-23.123;-101.641;-30;-113.197;#N/A
Ecuador;1.624;-75.19;-5.015;-83.976;26.196213
Egypt;30;37.258;21.725;24.697;159.780338
El Salvador;14.45;-87.597;9.945;-91.44;6.515446
Equatorial Guinea;4.123;11.338;-4.82;2.286;1.251998
Eritrea;18.104;43.253;12.362;36.433;0.398406
Europa Island;-20.916;41.82;-25.751;38.012;#N/A
Federal Republic of Somalia;13.525;54.445;-1.654;40.995;0.32995
Fiji;-13.909;-176.267;-24.382;-180;1.04913172
Fiji;-9.783;180;-25.097;172.765;1.04913172
French Guiana;8.832;-49.406;2.113;-54.601;0
